FileName,Font,Text
file_1.png,CourierNew,Sediment
file_2.png,Arial,Guest
file_3.png,CenturyGothic,Socket
file_4.png,Verdana,Onset
file_5.png,Candara,Driver
file_6.png,TimesNewRoman,Oakland
file_7.png,Garamond,Breed
file_8.png,TimesNewRoman,Garrett
file_9.png,Palatino,Tens
file_10.png,Calibri,Arts
file_11.png,Lobster,Tracking
file_12.png,Helvetica,Donors
file_13.png,Arial,Low
file_14.png,CenturyGothic,Hal
file_15.png,Helvetica,Cut
file_16.png,Georgia,Taste
file_17.png,FranclinGothic,Artery
file_18.png,FranclinGothic,Portugal
file_19.png,LucidaSans,Flies
file_20.png,TrebuchetMS,Doyle
file_21.png,Palatino,None
file_22.png,CourierNew,Schuster
file_23.png,SegoeUI,Indies
file_24.png,Georgia,Paint
file_25.png,TrebuchetMS,Dam
file_26.png,Candara,Germans
file_27.png,MonotypeCorsiva,Merger
file_28.png,Verdana,Kane
file_29.png,CourierNew,Toilet
file_30.png,Candara,Closet
file_31.png,MonotypeCorsiva,Rhine
file_32.png,FranclinGothic,Ann
file_33.png,Garamond,Abuse
file_34.png,Garamond,Stress
file_35.png,SegoeUI,Africans
file_36.png,CenturyGothic,Pole
file_37.png,Georgia,Leaves
file_38.png,CourierNew,Costume
file_39.png,Lobster,Ruth
file_40.png,TrebuchetMS,Open
file_41.png,Lobster,Analyst
file_42.png,MonotypeCorsiva,Disguise
file_43.png,Verdana,Buck
file_44.png,Candara,Curves
file_45.png,Verdana,Harness
file_46.png,CenturyGothic,Sylvia
file_47.png,TimesNewRoman,Everyone
file_48.png,Lobster,Nylon
file_49.png,Georgia,Raft
file_50.png,TimesNewRoman,Knees
file_51.png,FranclinGothic,Romania
file_52.png,MS_Sans_Serif,Western
file_53.png,Lobster,Puerto
file_54.png,TimesNewRoman,Clerk
file_55.png,MonotypeCorsiva,Virgin
file_56.png,FranclinGothic,Copies
file_57.png,Bookman,Vigor
file_58.png,LucidaSans,Clara
file_59.png,MonotypeCorsiva,Cattle
file_60.png,TimesNewRoman,Mcdonald
file_61.png,CourierNew,Meals
file_62.png,ComicSansMS,Sediment
file_63.png,TrebuchetMS,Defender
file_64.png,TrebuchetMS,Cocaine
file_65.png,MS_Sans_Serif,Bleeding
file_66.png,FranclinGothic,Maya
file_67.png,LucidaSans,Fletcher
file_68.png,SegoeUI,Infancy
file_69.png,Palatino,Keeper
file_70.png,FranclinGothic,Meadows
file_71.png,CourierNew,Imperial
file_72.png,TrebuchetMS,Hatch
file_73.png,SegoeUI,Die
file_74.png,MS_Sans_Serif,Les
file_75.png,Garamond,Fighters
file_76.png,MS_Sans_Serif,Penguin
file_77.png,SegoeUI,Nixon
file_78.png,Verdana,Buffer
file_79.png,SegoeUI,Patch
file_80.png,Candara,Confines
file_81.png,Verdana,Flavor
file_82.png,CourierNew,Writer
file_83.png,CenturyGothic,Outlet
file_84.png,CourierNew,Tort
file_85.png,SegoeUI,Giovanni
file_86.png,Verdana,Reflex
file_87.png,Candara,Prestige
file_88.png,Verdana,Morning
file_89.png,Candara,Ben
file_90.png,MS_Sans_Serif,Jim
file_91.png,TimesNewRoman,Uniforms
file_92.png,CenturyGothic,Fiction
file_93.png,FranclinGothic,Samples
file_94.png,LucidaSans,Forests
file_95.png,LucidaSans,Art
file_96.png,TrebuchetMS,Annals
file_97.png,Helvetica,Palace
file_98.png,Verdana,Gum
file_99.png,Bookman,Hymn
file_100.png,TimesNewRoman,Master
file_101.png,Garamond,Margin
file_102.png,Palatino,Reptiles
file_103.png,TimesNewRoman,Fax
file_104.png,SegoeUI,Size
file_105.png,CourierNew,Robots
file_106.png,Candara,Tracy
file_107.png,Helvetica,Payments
file_108.png,Lobster,Invasion
file_109.png,FranclinGothic,Bastard
file_110.png,CenturyGothic,Registry
file_111.png,Verdana,Sidewalk
file_112.png,FranclinGothic,Grape
file_113.png,Georgia,Opening
file_114.png,Arial,County
file_115.png,LucidaSans,Cor
file_116.png,Georgia,Thinkers
file_117.png,Bookman,Holder
file_118.png,Georgia,Norman
file_119.png,LucidaSans,Retreat
file_120.png,MS_Sans_Serif,Watt
file_121.png,Lobster,Clocks
file_122.png,TimesNewRoman,Ram
file_123.png,Lobster,Satire
file_124.png,ComicSansMS,Socrates
file_125.png,ComicSansMS,Nitrate
file_126.png,Verdana,Bowls
file_127.png,Georgia,Nina
file_128.png,Garamond,Canoe
file_129.png,Lobster,Cas
file_130.png,Calibri,Canopy
file_131.png,Arial,Force
file_132.png,Calibri,Carter
file_133.png,CourierNew,Training
file_134.png,Bookman,Divers
file_135.png,Candara,Lin
file_136.png,CenturyGothic,Hundreds
file_137.png,ComicSansMS,Abdul
file_138.png,Verdana,Lease
file_139.png,Candara,Parent
file_140.png,LucidaSans,Produce
file_141.png,Candara,Voltaire
file_142.png,MonotypeCorsiva,Socrates
file_143.png,LucidaSans,Dilution
file_144.png,CourierNew,Rot
file_145.png,MS_Sans_Serif,Demon
file_146.png,Bookman,Stars
file_147.png,Garamond,Madrid
file_148.png,Verdana,Brother
file_149.png,Bookman,Impulses
file_150.png,SegoeUI,Entrance
file_151.png,Lobster,Discount
file_152.png,CourierNew,Meal
file_153.png,TimesNewRoman,Bugs
file_154.png,FranclinGothic,Vowels
file_155.png,ComicSansMS,Ukraine
file_156.png,Bookman,Bidding
